Name,Age,Departments,Salary,Experience,Cities,Annual_Salary,Bonus,Total_Compensation,Experience_Level
employee_1,44,HR,95377,9,Hyderabad,1144524,9537.7,104914.7,Mid-level
employee_2,22,Finance,90402,3,Chennai,1084824,9040.2,99442.2,Junior
employee_3,60,Data,79176,12,Mumbai,950112,7917.6,87093.6,Senior
employee_4,40,Finance,66733,8,Hyderabad,800796,6673.3,73406.3,Mid-level
employee_5,54,Finance,39418,15,Hyderabad,473016,3941.8,43359.8,Senior
employee_6,46,QA,62185,15,Bangalore,746220,6218.5,68403.5,Senior
employee_7,27,Data,66745,7,Bangalore,800940,6674.5,73419.5,Mid-level
employee_8,58,Data,118417,2,Chennai,1421004,11841.7,130258.7,Fresher
employee_9,50,Data,78787,5,Chennai,945444,7878.700000000001,86665.7,Junior
employee_10,25,Finance,105123,10,Mumbai,1261476,10512.300000000001,115635.3,Mid-level
employee_11,31,HR,77035,8,Mumbai,924420,7703.5,84738.5,Mid-level
employee_12,21,Data,112804,7,Bangalore,1353648,11280.400000000001,124084.4,Mid-level
employee_13,54,Sales,90984,6,Hyderabad,1091808,9098.4,100082.4,Mid-level
employee_14,21,Finance,77462,6,Pune,929544,7746.200000000001,85208.2,Mid-level
employee_15,39,QA,62353,0,Delhi,748236,6235.3,68588.3,Fresher
employee_16,22,HR,98644,14,Delhi,1183728,9864.400000000001,108508.4,Senior
employee_17,41,Sales,73302,4,Pune,879624,7330.200000000001,80632.2,Junior
employee_18,40,Sales,101979,6,Chennai,1223748,10197.900000000001,112176.9,Mid-level
employee_19,43,QA,47435,13,Delhi,569220,4743.5,52178.5,Senior
employee_20,41,HR,82728,12,Delhi,992736,8272.800000000001,91000.8,Senior
employee_21,44,Finance,26238,1,Pune,314856,2623.8,28861.8,Fresher
employee_22,24,IT,105857,14,Pune,1270284,10585.7,116442.7,Senior
employee_23,32,HR,106610,5,Bangalore,1279320,10661.0,117271.0,Junior
employee_24,42,QA,38049,13,Hyderabad,456588,3804.9,41853.9,Senior
employee_25,40,Sales,82193,1,Mumbai,986316,8219.300000000001,90412.3,Fresher
employee_26,38,Finance,60584,2,Bangalore,727008,6058.400000000001,66642.4,Fresher
employee_27,21,HR,91634,0,Delhi,1099608,9163.4,100797.4,Fresher
employee_28,50,IT,39679,2,Mumbai,476148,3967.9,43646.9,Fresher
employee_29,53,IT,59505,14,Bangalore,714060,5950.5,65455.5,Senior
employee_30,44,Data,76341,6,Bangalore,916092,7634.1,83975.1,Mid-level
employee_31,34,Data,75374,4,Pune,904488,7537.400000000001,82911.4,Junior
employee_32,56,QA,71998,3,Mumbai,863976,7199.8,79197.8,Junior
employee_33,25,HR,101970,14,Bangalore,1223640,10197.0,112167.0,Senior
employee_34,31,HR,80701,14,Pune,968412,8070.1,88771.1,Senior
employee_35,44,Sales,69859,12,Chennai,838308,6985.900000000001,76844.9,Senior
employee_36,51,Sales,58178,11,Mumbai,698136,5817.8,63995.8,Senior
employee_37,33,Sales,52575,7,Bangalore,630900,5257.5,57832.5,Mid-level
employee_38,36,Data,44329,7,Delhi,531948,4432.900000000001,48761.9,Mid-level
employee_39,44,HR,82254,15,Chennai,987048,8225.4,90479.4,Senior
employee_40,33,HR,109029,0,Pune,1308348,10902.900000000001,119931.9,Fresher
employee_41,44,IT,112366,8,Bangalore,1348392,11236.6,123602.6,Mid-level
employee_42,46,Data,98662,15,Delhi,1183944,9866.2,108528.2,Senior
employee_43,22,Finance,65068,13,Pune,780816,6506.8,71574.8,Senior
employee_44,36,Data,83951,8,Pune,1007412,8395.1,92346.1,Mid-level
employee_45,58,Finance,112629,1,Delhi,1351548,11262.900000000001,123891.9,Fresher
employee_46,21,IT,60171,1,Pune,722052,6017.1,66188.1,Fresher
employee_47,31,QA,33262,7,Mumbai,399144,3326.2000000000003,36588.2,Mid-level
employee_48,55,HR,68270,11,Chennai,819240,6827.0,75097.0,Senior
employee_49,49,IT,45785,10,Chennai,549420,4578.5,50363.5,Mid-level
employee_50,57,HR,64469,5,Hyderabad,773628,6446.900000000001,70915.9,Junior
employee_51,37,Sales,93831,2,Bangalore,1125972,9383.1,103214.1,Fresher
employee_52,59,QA,106223,11,Pune,1274676,10622.300000000001,116845.3,Senior
employee_53,48,QA,70643,1,Bangalore,847716,7064.3,77707.3,Fresher
employee_54,49,IT,92657,4,Chennai,1111884,9265.7,101922.7,Junior
employee_55,23,QA,28582,14,Chennai,342984,2858.2000000000003,31440.2,Senior
employee_56,30,Finance,55280,7,Pune,663360,5528.0,60808.0,Mid-level
employee_57,34,QA,67589,5,Mumbai,811068,6758.900000000001,74347.9,Junior
employee_58,32,HR,65000,11,Delhi,780000,6500.0,71500.0,Senior
employee_59,50,HR,26085,2,Pune,313020,2608.5,28693.5,Fresher
employee_60,52,HR,106427,11,Pune,1277124,10642.7,117069.7,Senior
employee_61,52,HR,40600,11,Hyderabad,487200,4060.0,44660.0,Senior
employee_62,52,Finance,84801,8,Delhi,1017612,8480.1,93281.1,Mid-level
employee_63,46,Data,86739,7,Mumbai,1040868,8673.9,95412.9,Mid-level
employee_64,21,Sales,99181,9,Bangalore,1190172,9918.1,109099.1,Mid-level
employee_65,22,IT,66596,5,Delhi,799152,6659.6,73255.6,Junior
employee_66,37,HR,95410,0,Mumbai,1144920,9541.0,104951.0,Fresher
employee_67,50,QA,104303,1,Pune,1251636,10430.300000000001,114733.3,Fresher
employee_68,59,HR,77188,15,Pune,926256,7718.8,84906.8,Senior
employee_69,27,QA,51825,3,Pune,621900,5182.5,57007.5,Junior
employee_70,47,Sales,35913,1,Pune,430956,3591.3,39504.3,Fresher
employee_71,29,Sales,106751,2,Pune,1281012,10675.1,117426.1,Fresher
